Wind Average ( MPH ),AC Output Total Power (Active)(W)
0,0
1,0
2,0
3,0
4,0
5,0
6,2.19440678
7,2.637391304
8,3.179294118
9,2.397681159
10,11.81351351
11,29.18610169
12,47.9458209
13,70.65033333
14,68.47450704
15,101.1939759
16,98.62151899
17,129.3594444
18,215.8839583
19,170.7895122
20,191.4641667
21,353.4996774
22,366.7066667
23,446.4042857
24,542.5084211
25,752.622
26,602.97
27,450.7983333
28,708.7783333
29,924.755
30,976.91
31,712.995
32,1182.28
33,1282.756
34,626.7733333
36,1099.16
37,1495.875
40,1571.29
