Wind Average ( MPH ),AC Output Total Power (Active)(W)
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,2.27375
11.0,38.498000000000005
12.0,46.89551724137931
13.0,52.845
14.0,96.86820512820513
15.0,134.46366666666668
16.0,121.39666666666666
17.0,150.40085106382978
18.0,165.72979591836733
19.0,235.9005263157895
20.0,235.0440350877193
21.0,332.52775510204077
22.0,355.1602941176471
23.0,382.9372972972973
24.0,444.88291139240505
25.0,435.3581355932203
26.0,490.8392156862745
27.0,593.2095348837211
28.0,590.6243902439024
29.0,627.551842105263
30.0,603.1434615384613
31.0,860.9218181818183
32.0,600.3943750000001
33.0,784.8986363636366
34.0,572.4064705882354
35.0,788.4039999999999
36.0,597.6484615384616
37.0,804.4399999999999
38.0,1095.173
39.0,721.366
40.0,1009.69
41.0,1258.6433333333332
42.0,832.394
43.0,1240.27
44.0,876.385
45.0,1836.31
46.0,1820.6119999999999
53.0,1634.1
