Wind Average ( MPH ),AC Output Total Power (Active)(W)
3,0
4,0
5,0
6,0
7,0
8,0
9,12.64956522
10,9.552666667
11,21.2297561
12,28.68931034
13,38.52808824
14,78.90619048
15,89.1195082
16,117.1278761
17,131.1041463
18,134.7989744
19,168.5154
20,255.0846512
21,262.5818605
22,307.770566
23,359.5443478
24,339.4423256
25,457.9623256
26,575.0328205
27,445.7467857
28,535.343125
29,530.54
30,745.925
31,860.4807692
32,891.748
33,693.5788889
34,953.5585714
35,849.0733333
36,896.6425
37,485.55
38,736.7475
40,201.14
